Graph,Gramm,lowest,highest,first,lowest-first,highest-first,lowest-highest,lowest_eis,highest_eis,first_eis,lowest-first_eis,highest-first_eis,lowest-highest_eis,First-eis-pruning,,,Time (ns) vis pruning,Time (ns) edge pruning,pick n choose,,avg,9036793.08988764,8395251.80898876,8152816.20224719,,,,lowest-no-pruning,Lowest-pruning,Lowest-first-pruning,,,,Graph,InitialLowerBound,ECC,Calls,ConteBound,TimeUnbounded,TimeBounded,CallsUnbounded,CallsBounded
,,,,,,,,,,,,,,,,,24720,21190,12610,,,,,,,,,1,1,1,,,,random42.edges,19,19,1,19,15720,25880,1,1
,,,,,,,,,,,,,,,,,423340,414070,789051,,,,,,,,,7,7,7,,,,random43.edges,199,201,7,206,471480,459251,7,7
,,,,,,,,,,,,,,,,,296861,198091,196600,,,,,,,,,1,1,1,,,,random44.edges,193,193,1,203,209910,214251,1,1
,,,,,,,,,,,,,,,,,568591,1062091,1129671,,,,,,,,,3,3,3,,,,random46.edges,248,257,3,267,607570,635481,3,3
,,,,,,,,,,,,,,,,,459890,451020,307780,,,,,,,,,1,1,1,,,,random47.edges,238,238,1,249,320530,653001,1,1
,,,,,,,,,,,,,,,,,242770,544870,476650,,,,,,,,,1,1,1,,,,random48.edges,239,239,1,250,255260,246360,1,1
,,,,,,,,,,,,,,,,,8193945,6518094,6580104,,,,,,,,,135,127,64,,,,random49.edges,239,250,127,257,9254435,8733755,127,127
,,,,,,,,,,,,,,,,,1433250,1198401,1448121,,,,,,,,,5,5,5,,,,random50.edges,216,232,5,244,744521,746280,5,5
,,,,,,,,,,,,,,,,,19510,22800,10190,,,,,,,,,1,1,1,,,,random51.edges,18,18,1,18,13050,23420,1,1
,,,,,,,,,,,,,,,,,36980,69360,36290,,,,,,,,,1,1,1,,,,random53.edges,61,61,1,62,60580,46310,1,1
,,,,,,,,,,,,,,,,,49500,50930,100210,,,,,,,,,1,1,1,,,,random54.edges,100,100,1,100,54890,51990,1,1
,,,,,,,,,,,,,,,,,5210,2660,5830,,,,,,,,,1,1,1,,,,random55.edges,4,4,1,4,6210,6220,1,1
,,,,,,,,,,,,,,,,,9224495,11373796,9704036,,,,,,,,,175,175,727,,,,random56.edges,259,270,175,278,12426977,12658817,175,175
,,,,,,,,,,,,,,,,,74345373,75806833,75542563,,,,,,,,,599,599,1047,,,,random57.edges,241,259,599,266,89203561,89145182,599,599
,,,,,,,,,,,,,,,,,363760,538520,359400,,,,,,,,,5,3,3,,,,random58.edges,245,246,3,252,844960,773661,3,3
,,,,,,,,,,,,,,,,,3390,4140,4380,,,,,,,,,1,1,1,,,,random59.edges,3,3,1,3,6340,2650,1,1
,,,,,,,,,,,,,,,,,36310,19140,36480,,,,,,,,,1,1,1,,,,random60.edges,35,35,1,35,22390,20700,1,1
,,,,,,,,,,,,,,,,,47840,23740,47330,,,,,,,,,1,1,1,,,,random61.edges,45,45,1,45,30240,25731,1,1
,,,,,,,,,,,,,,,,,49970,53410,26380,,,,,,,,,1,1,1,,,,random62.edges,45,45,1,45,31900,28460,1,1
,,,,,,,,,,,,,,,,,121080,119690,120550,,,,,,,,,1,1,1,,,,random63.edges,137,137,1,141,134680,129460,1,1
,,,,,,,,,,,,,,,,,535041,836821,460700,,,,,,,,,23,11,8,,,,random64.edges,144,147,11,154,544211,512231,11,11
,,,,,,,,,,,,,,,,,149560,151300,302150,,,,,,,,,1,1,1,,,,random65.edges,187,187,1,190,161400,160750,1,1
,,,,,,,,,,,,,,,,,47610,72310,48630,,,,,,,,,1,1,1,,,,random67.edges,76,76,1,76,55520,58990,1,1
,,,,,,,,,,,,,,,,,28100,28560,42460,,,,,,,,,1,1,1,,,,random68.edges,51,51,1,51,33130,29320,1,1
,,,,,,,,,,,,,,,,,41860,62300,42890,,,,,,,,,1,1,1,,,,random70.edges,68,68,1,68,46540,43190,1,1
,,,,,,,,,,,,,,,,,61440,80410,40950,,,,,,,,,1,1,1,,,,random71.edges,63,63,1,63,47040,44100,1,1
,,,,,,,,,,,,,,,,,13140,10610,7160,,,,,,,,,1,1,1,,,,random72.edges,12,12,1,12,9850,7580,1,1
,,,,,,,,,,,,,,,,,179540,178451,178330,,,,,,,,,1,1,1,,,,random73.edges,196,196,1,206,396491,191810,1,1
,,,,,,,,,,,,,,,,,1301461,2333001,1315611,,,,,,,,,79,39,27,,,,random74.edges,161,168,39,174,1625260,1575671,39,39
,,,,,,,,,,,,,,,,,140370,166380,207850,,,,,,,,,1,1,1,,,,random76.edges,173,173,1,175,158500,149770,1,1
,,,,,,,,,,,,,,,,,30900,30700,62070,,,,,,,,,1,1,1,,,,random77.edges,44,44,1,44,37130,33370,1,1
,,,,,,,,,,,,,,,,,57040,77220,86110,,,,,,,,,1,1,1,,,,random78.edges,62,62,1,63,39020,36170,1,1
,,,,,,,,,,,,,,,,,60740,89490,60951,,,,,,,,,1,1,1,,,,random79.edges,97,97,1,97,66900,123730,1,1
,,,,,,,,,,,,,,,,,18270,18270,18660,,,,,,,,,1,1,1,,,,random80.edges,36,36,1,36,22090,19880,1,1
,,,,,,,,,,,,,,,,,49340,111600,99530,,,,,,,,,1,1,1,,,,random81.edges,70,70,1,71,56700,53530,1,1
,,,,,,,,,,,,,,,,,338970,170850,166700,,,,,,,,,1,1,1,,,,random82.edges,168,168,1,173,188841,183180,1,1
,,,,,,,,,,,,,,,,,281242613,218235216,210297491,,,,,,,,,17489,6127,4160,,,,random83.edges,208,226,7887,235,384388651,387245354,7887,7887
,,,,,,,,,,,,,,,,,26780,13490,14650,,,,,,,,,1,1,1,,,,random84.edges,24,24,1,24,16590,15450,1,1
,,,,,,,,,,,,,,,,,62790,64960,122020,,,,,,,,,1,1,1,,,,random86.edges,97,97,1,98,69780,88900,1,1
,,,,,,,,,,,,,,,,,18460,9800,18730,,,,,,,,,1,1,1,,,,random87.edges,16,16,1,16,12440,10380,1,1
,,,,,,,,,,,,,,,,,149371,199390,198301,,,,,,,,,1,1,1,,,,random88.edges,131,131,1,132,109670,111170,1,1
,,,,,,,,,,,,,,,,,173420,161691,159140,,,,,,,,,1,1,1,,,,random89.edges,127,127,1,128,181300,87180,1,1
,,,,,,,,,,,,,,,,,283530,191340,125260,,,,,,,,,1,1,1,,,,random90.edges,158,158,1,158,141000,144791,1,1
,,,,,,,,,,,,,,,,,27580,55330,41540,,,,,,,,,1,1,1,,,,random91.edges,43,43,1,43,32130,28780,1,1
,,,,,,,,,,,,,,,,,67900,49240,69410,,,,,,,,,1,1,1,,,,random92.edges,57,57,1,57,38550,36000,1,1
,,,,,,,,,,,,,,,,,82920,123410,83190,,,,,,,,,1,1,1,,,,random93.edges,116,116,1,120,99950,88930,1,1
,,,,,,,,,,,,,,,,,208660,225490,214880,,,,,,,,,1,1,1,,,,random94.edges,132,132,1,133,116181,118521,1,1
,,,,,,,,,,,,,,,,,101450,56490,58250,,,,,,,,,1,1,1,,,,random96.edges,96,96,1,97,63990,125750,1,1
,,,,,,,,,,,,,,,,,43460,63430,85520,,,,,,,,,1,1,1,,,,random97.edges,60,60,1,61,47980,46470,1,1
,,,,,,,,,,,,,,,,,19891522,18808991,19261921,,,,,,,,,659,421,489,,,,random98.edges,207,217,421,227,24284194,24274884,421,421
,,,,,,,,,,,,,,,,,68476349,82818998,65038938,,,,,,,,,3203,1427,1106,,,,random99.edges,258,269,1427,281,93670884,90114223,1427,1427
,,,,,,,,,,,,,,,,,67340,35310,34470,,,,,,,,,5,3,3,,,,right.edges,4,5,3,6,37630,78740,3,3
,,,,,,,,,,,,,,,,,174130,310601,289940,,,,,,,,,27,13,9,,,,wrong2.edges,3,5,15,6,179911,157840,15,13
